ignore,description
1-S25.31*,1-Minor laceration of innominate or subclavian vein
1-S25.32*,1-Major laceration of innominate or subclavian vein
1-S25.39*,1-Other specified injury of innominate or subclavian vein
1-S25.40*,1-Unspecified injury of pulmonary blood vessels
1-S25.41*,1-Minor laceration of pulmonary blood vessels
1-S25.42*,1-Major laceration of pulmonary blood vessels
1-S25.49*,1-Other specified injury of pulmonary blood vessels
1-S25.50*,1-Unspecified injury of intercostal blood vessels
1-S25.51*,1-Laceration of intercostal blood vessels
1-S25.59*,1-Other specified injury of intercostal blood vessels
1-S25.80*,1-Unspecified injury of other blood vessels of thorax
1-S25.81*,1-Laceration of other blood vessels of thorax
1-S25.89*,1-Other specified injury of other blood vessels of thorax
1-S25.90*,1-Unspecified injury of unspecified blood vessel of thorax
1-S25.91*,1-Laceration of unspecified blood vessel of thorax
1-S25.99*,1-Other specified injury of unspecified blood vessel of thorax
1-S26.00*,1-Unspecified injury of heart with hemopericardium
1-S26.01*,1-Contusion of heart with hemopericardium
1-S26.020*,1-Mild laceration of heart with hemopericardium
1-S26.021*,1-Moderate laceration of heart with hemopericardium
1-S26.022*,1-Major laceration of heart with hemopericardium
1-S26.09*,1-Other injury of heart with hemopericardium
1-S26.10*,1-Unspecified injury of heart without hemopericardium
1-S26.11*,1-Contusion of heart without hemopericardium
1-S26.12*,1-Laceration of heart without hemopericardium
1-S26.19*,1-Other injury of heart without hemopericardium
1-S26.90*,"1-Unspecified injury of heart, unspecified with or without hemopericardium"
1-S26.91*,"1-Contusion of heart, unspecified with or without hemopericardium"
1-S26.92*,"1-Laceration of heart, unspecified with or without hemopericardium"
1-S26.99*,"1-Other injury of heart, unspecified with or without hemopericardium"
1-S27.0*,1-Traumatic pneumothorax
1-S27.1*,1-Traumatic hemothorax
1-S27.2*,1-Traumatic hemopneumothorax
1-S27.30*,1-Unspecified injury of lung
1-S27.31*,1-Primary blast injury of lung
1-S27.32*,1-Contusion of lung
1-S27.33*,1-Laceration of lung
1-S27.39*,1-Other injuries of lung
1-S27.40*,1-Unspecified injury of bronchus
1-S27.41*,1-Primary blast injury of bronchus
1-S27.42*,1-Contusion of bronchus
1-S27.43*,1-Laceration of bronchus
1-S27.49*,1-Other injury of bronchus
1-S27.50*,1-Unspecified injury of thoracic trachea
1-S27.51*,1-Primary blast injury of thoracic trachea
1-S27.52*,1-Contusion of thoracic trachea
1-S27.53*,1-Laceration of thoracic trachea
1-S27.59*,1-Other injury of thoracic trachea
1-S27.60*,1-Unspecified injury of pleura
1-S27.63*,1-Laceration of pleura
1-S27.69*,1-Other injury of pleura
1-S27.802*,1-Contusion of diaphragm
1-S27.803*,1-Laceration of diaphragm
1-S27.808*,1-Other injury of diaphragm
1-S27.809*,1-Unspecified injury of diaphragm
1-S27.812*,1-Contusion of esophagus (thoracic part)
1-S27.813*,1-Laceration of esophagus (thoracic part)
1-S27.818*,1-Other injury of esophagus (thoracic part)
1-S27.819*,1-Unspecified injury of esophagus (thoracic part)
1-S27.892*,1-Contusion of other specified intrathoracic organs
1-S27.893*,1-Laceration of other specified intrathoracic organs
1-S27.898*,1-Other injury of other specified intrathoracic organs
1-S27.899*,1-Unspecified injury of other specified intrathoracic organs
1-S27.9*,1-Injury of unspecified intrathoracic organ
1-S28.0*,1-Crushed chest
1-S28.1*,"1-Traumatic amputation (partial) of part of thorax, except breast"
1-S28.21*,1-Complete traumatic amputation of breast
1-S28.22*,1-Partial traumatic amputation of breast
1-S29.001*,1-Unspecified injury of muscle and tendon of front wall of thorax
1-S29.002*,1-Unspecified injury of muscle and tendon of back wall of thorax
1-S29.009*,1-Unspecified injury of muscle and tendon of unspecified wall of thorax
1-S29.011*,1-Strain of muscle and tendon of front wall of thorax
1-S29.012*,1-Strain of muscle and tendon of back wall of thorax
1-S29.019*,1-Strain of muscle and tendon of unspecified wall of thorax
1-S29.021*,1-Laceration of muscle and tendon of front wall of thorax
1-S29.022*,1-Laceration of muscle and tendon of back wall of thorax
1-S29.029*,1-Laceration of muscle and tendon of unspecified wall of thorax
1-S29.091*,1-Other injury of muscle and tendon of front wall of thorax
1-S29.092*,1-Other injury of muscle and tendon of back wall of thorax
1-S29.099*,1-Other injury of muscle and tendon of unspecified wall of thorax
1-S29.8*,1-Other specified injuries of thorax
1-S29.9*,1-Unspecified injury of thorax
1-S30.0*,1-Contusion of lower back and pelvis
1-S30.1*,1-Contusion of abdominal wall
1-S30.201*,"1-Contusion of unspecified external genital organ, male"
1-S30.202*,"1-Contusion of unspecified external genital organ, female"
1-S30.21*,1-Contusion of penis
1-S30.22*,1-Contusion of scrotum and testes
1-S30.23*,1-Contusion of vagina and vulva
1-S30.3*,1-Contusion of anus
1-S30.810*,1-Abrasion of lower back and pelvis
1-S30.811*,1-Abrasion of abdominal wall
1-S30.812*,1-Abrasion of penis
1-S30.813*,1-Abrasion of scrotum and testes
1-S30.814*,1-Abrasion of vagina and vulva
1-S30.815*,"1-Abrasion of unspecified external genital organs, male"
1-S30.816*,"1-Abrasion of unspecified external genital organs, female"
1-S30.817*,1-Abrasion of anus
1-S30.820*,1-Blister (nonthermal) of lower back and pelvis
1-S30.821*,1-Blister (nonthermal) of abdominal wall
1-S30.822*,1-Blister (nonthermal) of penis
1-S30.823*,1-Blister (nonthermal) of scrotum and testes
1-S30.824*,1-Blister (nonthermal) of vagina and vulva
1-S30.825*,"1-Blister (nonthermal) of unspecified external genital organs, male"
1-S30.826*,"1-Blister (nonthermal) of unspecified external genital organs, female"
1-S30.827*,1-Blister (nonthermal) of anus
1-S30.840*,1-External constriction of lower back and pelvis
1-S30.841*,1-External constriction of abdominal wall
1-S30.842*,1-External constriction of penis
1-S30.843*,1-External constriction of scrotum and testes
1-S30.844*,1-External constriction of vagina and vulva
1-S30.845*,"1-External constriction of unspecified external genital organs, male"
1-S30.846*,"1-External constriction of unspecified external genital organs, female"
1-S30.850*,1-Superficial foreign body of lower back and pelvis
1-S30.851*,1-Superficial foreign body of abdominal wall
1-S30.852*,1-Superficial foreign body of penis
1-S30.853*,1-Superficial foreign body of scrotum and testes
1-S30.854*,1-Superficial foreign body of vagina and vulva
1-S30.855*,"1-Superficial foreign body of unspecified external genital organs, male"
1-S30.856*,"1-Superficial foreign body of unspecified external genital organs, female"
1-S30.857*,1-Superficial foreign body of anus
1-S30.860*,1-Insect bite (nonvenomous) of lower back and pelvis
1-S30.861*,1-Insect bite (nonvenomous) of abdominal wall
1-S30.862*,1-Insect bite (nonvenomous) of penis
1-S30.863*,1-Insect bite (nonvenomous) of scrotum and testes
1-S30.864*,1-Insect bite (nonvenomous) of vagina and vulva
1-S30.865*,"1-Insect bite (nonvenomous) of unspecified external genital organs, male"
1-S30.866*,"1-Insect bite (nonvenomous) of unspecified external genital organs, female"
1-S30.867*,1-Insect bite (nonvenomous) of anus
1-S30.870*,1-Other superficial bite of lower back and pelvis
1-S30.871*,1-Other superficial bite of abdominal wall
1-S30.872*,1-Other superficial bite of penis
1-S30.873*,1-Other superficial bite of scrotum and testes
1-S30.874*,1-Other superficial bite of vagina and vulva
1-S30.875*,"1-Other superficial bite of unspecified external genital organs, male"
1-S30.876*,"1-Other superficial bite of unspecified external genital organs, female"
1-S30.877*,1-Other superficial bite of anus
1-S30.91*,1-Unspecified superficial injury of lower back and pelvis
1-S30.92*,1-Unspecified superficial injury of abdominal wall
1-S30.93*,1-Unspecified superficial injury of penis
1-S30.94*,1-Unspecified superficial injury of scrotum and testes
1-S30.95*,1-Unspecified superficial injury of vagina and vulva
1-S30.96*,"1-Unspecified superficial injury of unspecified external genital organs, male"
1-S30.97*,"1-Unspecified superficial injury of unspecified external genital organs, female"
1-S30.98*,1-Unspecified superficial injury of anus
1-S31.000*,1-Unspecified open wound of lower back and pelvis without penetration into retroperitoneum
1-S31.001*,1-Unspecified open wound of lower back and pelvis with penetration into retroperitoneum
1-S31.010*,1-Laceration without foreign body of lower back and pelvis without penetration into retroperitoneum
1-S31.011*,1-Laceration without foreign body of lower back and pelvis with penetration into retroperitoneum
1-S31.020*,1-Laceration with foreign body of lower back and pelvis without penetration into retroperitoneum
1-S31.021*,1-Laceration with foreign body of lower back and pelvis with penetration into retroperitoneum
1-S31.030*,1-Puncture wound without foreign body of lower back and pelvis without penetration into retroperitoneum
1-S31.031*,1-Puncture wound without foreign body of lower back and pelvis with penetration into retroperitoneum
1-S31.040*,1-Puncture wound with foreign body of lower back and pelvis without penetration into retroperitoneum
1-S31.041*,1-Puncture wound with foreign body of lower back and pelvis with penetration into retroperitoneum
1-S31.050*,1-Open bite of lower back and pelvis without penetration into retroperitoneum
1-S31.051*,1-Open bite of lower back and pelvis with penetration into retroperitoneum
1-S31.10*,1-Unspecified open wound of abdominal wall without penetration into peritoneal cavity
1-S31.11*,1-Laceration without foreign body of abdominal wall without penetration into peritoneal cavity
1-S31.12*,1-Laceration with foreign body of abdominal wall without penetration into peritoneal cavity
1-S31.13*,1-Puncture wound of abdominal wall without foreign body without penetration into peritoneal cavity
1-S31.14*,1-Puncture wound of abdominal wall with foreign body without penetration into peritoneal cavity
1-S31.15*,1-Open bite of abdominal wall without penetration into peritoneal cavity
1-S31.20*,1-Unspecified open wound of penis
1-S31.21*,1-Laceration without foreign body of penis
1-S31.22*,1-Laceration with foreign body of penis
1-S31.23*,1-Puncture wound without foreign body of penis
1-S31.24*,1-Puncture wound with foreign body of penis
1-S31.25*,1-Open bite of penis
1-S31.30*,1-Unspecified open wound of scrotum and testes
1-S31.31*,1-Laceration without foreign body of scrotum and testes
1-S31.32*,1-Laceration with foreign body of scrotum and testes
1-S31.33*,1-Puncture wound without foreign body of scrotum and testes
1-S31.34*,1-Puncture wound with foreign body of scrotum and testes
1-S31.35*,1-Open bite of scrotum and testes
1-S31.40*,1-Unspecified open wound of vagina and vulva
1-S31.41*,1-Laceration without foreign body of vagina and vulva
1-S31.42*,1-Laceration with foreign body of vagina and vulva
1-S31.43*,1-Puncture wound without foreign body of vagina and vulva
1-S31.44*,1-Puncture wound with foreign body of vagina and vulva
1-S31.45*,1-Open bite of vagina and vulva
1-S31.501*,"1-Unspecified open wound of unspecified external genital organs, male"
1-S31.502*,"1-Unspecified open wound of unspecified external genital organs, female"
1-S31.511*,"1-Laceration without foreign body of unspecified external genital organs, male"
1-S31.512*,"1-Laceration without foreign body of unspecified external genital organs, female"
1-S31.521*,"1-Laceration with foreign body of unspecified external genital organs, male"
1-S31.522*,"1-Laceration with foreign body of unspecified external genital organs, female"
1-S31.531*,"1-Puncture wound without foreign body of unspecified external genital organs, male"
1-S31.532*,"1-Puncture wound without foreign body of unspecified external genital organs, female"
1-S31.541*,"1-Puncture wound with foreign body of unspecified external genital organs, male"
1-S31.542*,"1-Puncture wound with foreign body of unspecified external genital organs, female"
1-S31.551*,"1-Open bite of unspecified external genital organs, male"
1-S31.552*,"1-Open bite of unspecified external genital organs, female"
1-S31.60*,1-Unspecified open wound of abdominal wall with penetration into peritoneal cavity
1-S31.61*,1-Laceration without foreign body of abdominal wall with penetration into peritoneal cavity
1-S31.62*,1-Laceration with foreign body of abdominal wall with penetration into peritoneal cavity
1-S31.63*,1-Puncture wound without foreign body of abdominal wall with penetration into peritoneal cavity
1-S31.64*,1-Puncture wound with foreign body of abdominal wall with penetration into peritoneal cavity
1-S31.65*,1-Open bite of abdominal wall with penetration into peritoneal cavity
1-S31.8*,"1-Open wound of other parts of abdomen, lower back and pelvis"
1-S32.0*,1-Fracture of lumbar vertebra
1-S32.1*,1-Fracture of sacrum
1-S32.2*,1-Fracture of coccyx
1-S32.30*,1-Unspecified fracture of ilium
1-S32.31*,1-Avulsion fracture of ilium
1-S32.39*,1-Other fracture of ilium
1-S32.40*,1-Unspecified fracture of acetabulum
1-S32.41*,1-Fracture of anterior wall of acetabulum
1-S32.42*,1-Fracture of posterior wall of acetabulum
1-S32.43*,1-Fracture of anterior column [iliopubic] of acetabulum
1-S32.44*,1-Fracture of posterior column [ilioischial] of acetabulum
1-S32.45*,1-Transverse fracture of acetabulum
1-S32.46*,1-Associated transverse-posterior fracture of acetabulum
1-S32.47*,1-Fracture of medial wall of acetabulum
1-S32.48*,1-Dome fracture of acetabulum
1-S32.49*,1-Other specified fracture of acetabulum
1-S32.50*,1-Unspecified fracture of pubis
1-S32.51*,1-Fracture of superior rim of pubis
1-S32.59*,1-Other specified fracture of pubis
1-S32.60*,1-Unspecified fracture of ischium
1-S32.61*,1-Avulsion fracture of ischium
1-S32.69*,1-Other specified fracture of ischium
1-S32.810*,1-Multiple fractures of pelvis with stable disruption of pelvic ring
1-S32.811*,1-Multiple fractures of pelvis with unstable disruption of pelvic ring
1-S32.82*,1-Multiple fractures of pelvis without disruption of pelvic ring
1-S32.89*,1-Fracture of other parts of pelvis
1-S32.9*,1-Fracture of unspecified parts of lumbosacral spine and pelvis
1-S33.0*,1-Traumatic rupture of lumbar intervertebral disc
1-S33.100*,1-Subluxation of unspecified lumbar vertebra
1-S33.101*,1-Dislocation of unspecified lumbar vertebra
1-S33.110*,1-Subluxation of L1/L2 lumbar vertebra
1-S33.111*,1-Dislocation of L1/L2 lumbar vertebra
1-S33.120*,1-Subluxation of L2/L3 lumbar vertebra
1-S33.121*,1-Dislocation of L2/L3 lumbar vertebra
1-S33.130*,1-Subluxation of L3/L4 lumbar vertebra
1-S33.131*,1-Dislocation of L3/L4 lumbar vertebra
1-S33.140*,1-Subluxation of L4/L5 lumbar vertebra
1-S33.141*,1-Dislocation of L4/L5 lumbar vertebra
1-S33.2*,1-Dislocation of sacroiliac and sacrococcygeal joint
1-S33.30*,1-Dislocation of unspecified parts of lumbar spine and pelvis
1-S33.39*,1-Dislocation of other parts of lumbar spine and pelvis
1-S33.4*,1-Traumatic rupture of symphysis pubis
1-S33.5*,1-Sprain of ligaments of lumbar spine
1-S33.6*,1-Sprain of sacroiliac joint
1-S33.8*,1-Sprain of other parts of lumbar spine and pelvis
1-S33.9*,1-Sprain of unspecified parts of lumbar spine and pelvis
1-S34.01*,1-Concussion and edema of lumbar spinal cord
1-S34.02*,1-Concussion and edema of sacral spinal cord
1-S34.10*,1-Unspecified injury to lumbar spinal cord
1-S34.11*,1-Complete lesion of lumbar spinal cord
1-S34.12*,1-Incomplete lesion of lumbar spinal cord
1-S34.131*,1-Complete lesion of sacral spinal cord
1-S34.132*,1-Incomplete lesion of sacral spinal cord
1-S34.139*,1-Unspecified injury to sacral spinal cord
1-S34.21*,1-Injury of nerve root of lumbar spine
1-S34.22*,1-Injury of nerve root of sacral spine
1-S34.3*,1-Injury of cauda equina
1-S34.4*,1-Injury of lumbosacral plexus
1-S34.5*,"1-Injury of lumbar, sacral and pelvic sympathetic nerves"
1-S34.6*,"1-Injury of peripheral nerve(s) at abdomen, lower back and pelvis level"
1-S34.8*,"1-Injury of other nerves at abdomen, lower back and pelvis level"
1-S34.9*,"1-Injury of unspecified nerves at abdomen, lower back and pelvis level"
1-S35.00*,1-Unspecified injury of abdominal aorta
1-S35.01*,1-Minor laceration of abdominal aorta
1-S35.02*,1-Major laceration of abdominal aorta
1-S35.09*,1-Other injury of abdominal aorta
1-S35.10*,1-Unspecified injury of inferior vena cava
1-S35.11*,1-Minor laceration of inferior vena cava
1-S35.12*,1-Major laceration of inferior vena cava
1-S35.19*,1-Other injury of inferior vena cava
1-S35.211*,1-Minor laceration of celiac artery
1-S35.212*,1-Major laceration of celiac artery
1-S35.218*,1-Other injury of celiac artery
1-S35.219*,1-Unspecified injury of celiac artery
1-S35.221*,1-Minor laceration of superior mesenteric artery
1-S35.222*,1-Major laceration of superior mesenteric artery
1-S35.228*,1-Other injury of superior mesenteric artery
1-S35.229*,1-Unspecified injury of superior mesenteric artery
1-S35.231*,1-Minor laceration of inferior mesenteric artery
1-S35.232*,1-Major laceration of inferior mesenteric artery
1-S35.238*,1-Other injury of inferior mesenteric artery
1-S35.239*,1-Unspecified injury of inferior mesenteric artery
1-S35.291*,1-Minor laceration of branches of celiac and mesenteric artery
1-S35.292*,1-Major laceration of branches of celiac and mesenteric artery
1-S35.298*,1-Other injury of branches of celiac and mesenteric artery
1-S35.299*,1-Unspecified injury of branches of celiac and mesenteric artery
1-S35.311*,1-Laceration of portal vein
1-S35.318*,1-Other specified injury of portal vein
1-S35.319*,1-Unspecified injury of portal vein
1-S35.321*,1-Laceration of splenic vein
1-S35.328*,1-Other specified injury of splenic vein
1-S35.329*,1-Unspecified injury of splenic vein
1-S35.331*,1-Laceration of superior mesenteric vein
1-S35.338*,1-Other specified injury of superior mesenteric vein
1-S35.339*,1-Unspecified injury of superior mesenteric vein
1-S35.341*,1-Laceration of inferior mesenteric vein
1-S35.348*,1-Other specified injury of inferior mesenteric vein
1-S35.349*,1-Unspecified injury of inferior mesenteric vein
1-S35.40*,1-Unspecified injury of renal blood vessel
1-S35.41*,1-Laceration of renal blood vessel
1-S35.49*,1-Other specified injury of renal blood vessel
1-S35.50*,1-Injury of unspecified iliac blood vessel(s)
1-S35.51*,1-Injury of iliac artery or vein
1-S35.53*,1-Injury of uterine artery or vein
1-S35.59*,1-Injury of other iliac blood vessels
1-S35.8X1*,"1-Laceration of other blood vessels at abdomen, lower back and pelvis level"
1-S35.8X8*,"1-Other specified injury of other blood vessels at abdomen, lower back and pelvis level"
1-S35.8X9*,"1-Unspecified injury of other blood vessels at abdomen, lower back and pelvis level"
1-S35.90*,"1-Unspecified injury of unspecified blood vessel at abdomen, lower back and pelvis level"
1-S35.91*,"1-Laceration of unspecified blood vessel at abdomen, lower back and pelvis level"
1-S35.99*,"1-Other specified injury of unspecified blood vessel at abdomen, lower back and pelvis level"
1-S36.00*,1-Unspecified injury of spleen
1-S36.020*,1-Minor contusion of spleen
1-S36.021*,1-Major contusion of spleen
1-S36.029*,1-Unspecified contusion of spleen
1-S36.030*,1-Superficial (capsular) laceration of spleen
1-S36.031*,1-Moderate laceration of spleen
1-S36.032*,1-Major laceration of spleen
1-S36.039*,1-Unspecified laceration of spleen
1-S36.09*,1-Other injury of spleen
1-S36.112*,1-Contusion of liver
1-S36.113*,"1-Laceration of liver, unspecified degree"
1-S36.114*,1-Minor laceration of liver
1-S36.115*,1-Moderate laceration of liver
1-S36.116*,1-Major laceration of liver
1-S36.118*,1-Other injury of liver
1-S36.119*,1-Unspecified injury of liver
1-S36.122*,1-Contusion of gallbladder
1-S36.123*,1-Laceration of gallbladder
1-S36.128*,1-Other injury of gallbladder
1-S36.129*,1-Unspecified injury of gallbladder
1-S36.13*,1-Injury of bile duct
1-S36.200*,1-Unspecified injury of head of pancreas
1-S36.201*,1-Unspecified injury of body of pancreas
1-S36.202*,1-Unspecified injury of tail of pancreas
1-S36.209*,1-Unspecified injury of unspecified part of pancreas
1-S36.220*,1-Contusion of head of pancreas
1-S36.221*,1-Contusion of body of pancreas
1-S36.222*,1-Contusion of tail of pancreas
1-S36.229*,1-Contusion of unspecified part of pancreas
1-S36.230*,"1-Laceration of head of pancreas, unspecified degree"
1-S36.231*,"1-Laceration of body of pancreas, unspecified degree"
1-S36.232*,"1-Laceration of tail of pancreas, unspecified degree"
1-S36.239*,"1-Laceration of unspecified part of pancreas, unspecified degree"
1-S36.240*,1-Minor laceration of head of pancreas
1-S36.241*,1-Minor laceration of body of pancreas
1-S36.242*,1-Minor laceration of tail of pancreas
1-S36.249*,1-Minor laceration of unspecified part of pancreas
1-S36.250*,1-Moderate laceration of head of pancreas
1-S36.251*,1-Moderate laceration of body of pancreas
1-S36.252*,1-Moderate laceration of tail of pancreas
1-S36.259*,1-Moderate laceration of unspecified part of pancreas
1-S36.260*,1-Major laceration of head of pancreas
1-S36.261*,1-Major laceration of body of pancreas
1-S36.262*,1-Major laceration of tail of pancreas
1-S36.269*,1-Major laceration of unspecified part of pancreas
1-S36.290*,1-Other injury of head of pancreas
1-S36.291*,1-Other injury of body of pancreas
1-S36.292*,1-Other injury of tail of pancreas
1-S36.299*,1-Other injury of unspecified part of pancreas
1-S36.30*,1-Unspecified injury of stomach
1-S36.32*,1-Contusion of stomach
1-S36.33*,1-Laceration of stomach
1-S36.39*,1-Other injury of stomach
1-S36.400*,1-Unspecified injury of duodenum
1-S36.408*,1-Unspecified injury of other part of small intestine
1-S36.409*,1-Unspecified injury of unspecified part of small intestine
1-S36.410*,1-Primary blast injury of duodenum
1-S36.418*,1-Primary blast injury of other part of small intestine
1-S36.419*,1-Primary blast injury of unspecified part of small intestine
1-S36.420*,1-Contusion of duodenum
1-S36.428*,1-Contusion of other part of small intestine
1-S36.429*,1-Contusion of unspecified part of small intestine
1-S36.430*,1-Laceration of duodenum
1-S36.438*,1-Laceration of other part of small intestine
1-S36.439*,1-Laceration of unspecified part of small intestine
1-S36.490*,1-Other injury of duodenum
1-S36.498*,1-Other injury of other part of small intestine
1-S36.499*,1-Other injury of unspecified part of small intestine
1-S36.500*,1-Unspecified injury of ascending [right] colon
1-S36.501*,1-Unspecified injury of transverse colon
1-S36.502*,1-Unspecified injury of descending [left] colon
1-S36.503*,1-Unspecified injury of sigmoid colon
1-S36.508*,1-Unspecified injury of other part of colon
1-S36.509*,1-Unspecified injury of unspecified part of colon
1-S36.510*,1-Primary blast injury of ascending [right] colon
1-S36.511*,1-Primary blast injury of transverse colon
1-S36.512*,1-Primary blast injury of descending [left] colon
1-S36.513*,1-Primary blast injury of sigmoid colon
1-S36.518*,1-Primary blast injury of other part of colon
1-S36.519*,1-Primary blast injury of unspecified part of colon
1-S36.520*,1-Contusion of ascending [right] colon
1-S36.521*,1-Contusion of transverse colon
1-S36.522*,1-Contusion of descending [left] colon
1-S36.523*,1-Contusion of sigmoid colon
1-S36.528*,1-Contusion of other part of colon
1-S36.529*,1-Contusion of unspecified part of colon
1-S36.530*,1-Laceration of ascending [right] colon
1-S36.531*,1-Laceration of transverse colon
1-S36.532*,1-Laceration of descending [left] colon
1-S36.533*,1-Laceration of sigmoid colon
1-S36.538*,1-Laceration of other part of colon
1-S36.539*,1-Laceration of unspecified part of colon
1-S36.590*,1-Other injury of ascending [right] colon
1-S36.591*,1-Other injury of transverse colon
1-S36.592*,1-Other injury of descending [left] colon
1-S36.593*,1-Other injury of sigmoid colon
1-S36.598*,1-Other injury of other part of colon
1-S36.599*,1-Other injury of unspecified part of colon
1-S36.60*,1-Unspecified injury of rectum
1-S36.61*,1-Primary blast injury of rectum
1-S36.62*,1-Contusion of rectum
1-S36.63*,1-Laceration of rectum
1-S36.69*,1-Other injury of rectum
1-S36.81*,1-Injury of peritoneum
1-S36.892*,1-Contusion of other intra-abdominal organs
1-S36.893*,1-Laceration of other intra-abdominal organs
1-S36.898*,1-Other injury of other intra-abdominal organs
1-S36.899*,1-Unspecified injury of other intra-abdominal organs
1-S36.90*,1-Unspecified injury of unspecified intra-abdominal organ
1-S36.92*,1-Contusion of unspecified intra-abdominal organ
1-S36.93*,1-Laceration of unspecified intra-abdominal organ
1-S36.99*,1-Other injury of unspecified intra-abdominal organ
1-S37.00*,1-Unspecified injury of kidney
1-S37.01*,1-Minor contusion of kidney
1-S37.02*,1-Major contusion of kidney
1-S37.03*,"1-Laceration of kidney, unspecified degree"
1-S37.04*,1-Minor laceration of kidney
1-S37.05*,1-Moderate laceration of kidney
1-S37.06*,1-Major laceration of kidney
1-S37.09*,1-Other injury of kidney
1-S37.10*,1-Unspecified injury of ureter
1-S37.12*,1-Contusion of ureter
1-S37.13*,1-Laceration of ureter
1-S37.19*,1-Other injury of ureter
1-S37.20*,1-Unspecified injury of bladder
1-S37.22*,1-Contusion of bladder
1-S37.23*,1-Laceration of bladder
1-S37.29*,1-Other injury of bladder
1-S37.30*,1-Unspecified injury of urethra
1-S37.32*,1-Contusion of urethra
1-S37.33*,1-Laceration of urethra
1-S37.39*,1-Other injury of urethra
1-S37.40*,1-Unspecified injury of ovary
1-S37.42*,1-Contusion of ovary
1-S37.43*,1-Laceration of ovary
1-S37.49*,1-Other injury of ovary
1-S37.50*,1-Unspecified injury of fallopian tube
1-S37.51*,1-Primary blast injury of fallopian tube
1-S37.52*,1-Contusion of fallopian tube
1-S37.53*,1-Laceration of fallopian tube
1-S37.59*,1-Other injury of fallopian tube
1-S37.60*,1-Unspecified injury of uterus
1-S37.62*,1-Contusion of uterus
1-S37.63*,1-Laceration of uterus
1-S37.69*,1-Other injury of uterus
1-S37.812*,1-Contusion of adrenal gland
1-S37.813*,1-Laceration of adrenal gland
1-S37.818*,1-Other injury of adrenal gland
1-S37.819*,1-Unspecified injury of adrenal gland
1-S37.822*,1-Contusion of prostate
1-S37.823*,1-Laceration of prostate
1-S37.828*,1-Other injury of prostate
1-S37.829*,1-Unspecified injury of prostate
1-S37.892*,1-Contusion of other urinary and pelvic organ
1-S37.893*,1-Laceration of other urinary and pelvic organ
1-S37.898*,1-Other injury of other urinary and pelvic organ
1-S37.899*,1-Unspecified injury of other urinary and pelvic organ
1-S37.90*,1-Unspecified injury of unspecified urinary and pelvic organ
1-S37.92*,1-Contusion of unspecified urinary and pelvic organ
1-S37.93*,1-Laceration of unspecified urinary and pelvic organ
1-S37.99*,1-Other injury of unspecified urinary and pelvic organ
1-S38.001*,"1-Crushing injury of unspecified external genital organs, male"
1-S38.002*,"1-Crushing injury of unspecified external genital organs, female"
1-S38.01*,1-Crushing injury of penis
1-S38.02*,1-Crushing injury of scrotum and testis
1-S38.03*,1-Crushing injury of vulva
1-S38.1*,"1-Crushing injury of abdomen, lower back, and pelvis"
1-S38.211*,1-Complete traumatic amputation of female external genital organs
1-S38.212*,1-Partial traumatic amputation of female external genital organs
1-S38.221*,1-Complete traumatic amputation of penis
1-S38.222*,1-Partial traumatic amputation of penis
1-S38.231*,1-Complete traumatic amputation of scrotum and testis
1-S38.232*,1-Partial traumatic amputation of scrotum and testis
1-S38.3*,1-Transection (partial) of abdomen
1-S39.001*,"1-Unspecified injury of muscle, fascia and tendon of abdomen"
1-S39.002*,"1-Unspecified injury of muscle, fascia and tendon of lower back"
1-S39.003*,"1-Unspecified injury of muscle, fascia and tendon of pelvis"
1-S39.011*,"1-Strain of muscle, fascia and tendon of abdomen"
1-S39.012*,"1-Strain of muscle, fascia and tendon of lower back"
1-S39.013*,"1-Strain of muscle, fascia and tendon of pelvis"
1-S39.021*,"1-Laceration of muscle, fascia and tendon of abdomen"
1-S39.022*,"1-Laceration of muscle, fascia and tendon of lower back"
1-S39.023*,"1-Laceration of muscle, fascia and tendon of pelvis"
1-S39.091*,"1-Other injury of muscle, fascia and tendon of abdomen"
1-S39.092*,"1-Other injury of muscle, fascia and tendon of lower back"
1-S39.093*,"1-Other injury of muscle, fascia and tendon of pelvis"
1-S39.81*,1-Other specified injuries of abdomen
1-S39.82*,1-Other specified injuries of lower back
1-S39.83*,1-Other specified injuries of pelvis
1-S39.840*,1-Fracture of corpus cavernosum penis
1-S39.848*,1-Other specified injuries of external genitals
1-S39.91*,1-Unspecified injury of abdomen
1-S39.92*,1-Unspecified injury of lower back
1-S39.93*,1-Unspecified injury of pelvis
1-S39.94*,1-Unspecified injury of external genitals
1-S40.01*,1-Contusion of shoulder
1-S40.02*,1-Contusion of upper arm
1-S40.21*,1-Abrasion of shoulder
1-S40.22*,1-Blister (nonthermal) of shoulder
1-S40.24*,1-External constriction of shoulder
1-S40.25*,1-Superficial foreign body of shoulder
1-S40.26*,1-Insect bite (nonvenomous) of shoulder
1-S40.27*,1-Other superficial bite of shoulder
1-S40.81*,1-Abrasion of upper arm
1-S40.82*,1-Blister (nonthermal) of upper arm
1-S40.84*,1-External constriction of upper arm
1-S40.85*,1-Superficial foreign body of upper arm
1-S40.86*,1-Insect bite (nonvenomous) of upper arm
1-S40.87*,1-Other superficial bite of upper arm
1-S40.91*,1-Unspecified superficial injury of shoulder
1-S40.92*,1-Unspecified superficial injury of upper arm
1-S41.00*,1-Unspecified open wound of shoulder
