Name	Name1	Desc	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	V1	added
M80.031K	M80031K	Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with nonunion	Root	M00-M99	M80-M85	M80	M80.0	M80.03	M80.031	M80.031K	M80031K Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with nonunion	1
M80.031P	M80031P	Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with malunion	Root	M00-M99	M80-M85	M80	M80.0	M80.03	M80.031	M80.031P	M80031P Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with malunion	1
M80.031S	M80031S	Age-related osteoporosis with current pathological fracture, right forearm, sequela	Root	M00-M99	M80-M85	M80	M80.0	M80.03	M80.031	M80.031S	M80031S Age-related osteoporosis with current pathological fracture, right forearm, sequela	1
M80.032	M80032	Age-related osteoporosis with current pathological fracture, left forearm	Root	M00-M99	M80-M85	M80	M80.0	M80.03	M80.032		NA	0
M80.032A	M80032A	Age-related osteoporosis with current pathological fracture, left forearm, initial encounter for fracture	Root	M00-M99	M80-M85	M80	M80.0	M80.03	M80.032	M80.032A	M80032A Age-related osteoporosis with current pathological fracture, left forearm, initial encounter for fracture	1
M80.032D	M80032D	Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with routine healing	Root	M00-M99	M80-M85	M80	M80.0	M80.03	M80.032	M80.032D	M80032D Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with routine healing	1
M80.032G	M80032G	Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with delayed healing	Root	M00-M99	M80-M85	M80	M80.0	M80.03	M80.032	M80.032G	M80032G Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with delayed healing	1
M80.032K	M80032K	Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with nonunion	Root	M00-M99	M80-M85	M80	M80.0	M80.03	M80.032	M80.032K	M80032K Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with nonunion	1
M80.032P	M80032P	Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with malunion	Root	M00-M99	M80-M85	M80	M80.0	M80.03	M80.032	M80.032P	M80032P Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with malunion	1
M80.032S	M80032S	Age-related osteoporosis with current pathological fracture, left forearm, sequela	Root	M00-M99	M80-M85	M80	M80.0	M80.03	M80.032	M80.032S	M80032S Age-related osteoporosis with current pathological fracture, left forearm, sequela	1
M80.039	M80039	Age-related osteoporosis with current pathological fracture, unspecified forearm	Root	M00-M99	M80-M85	M80	M80.0	M80.03	M80.039		NA	0
M80.039A	M80039A	Age-related osteoporosis with current pathological fracture, unspecified forearm, initial encounter for fracture	Root	M00-M99	M80-M85	M80	M80.0	M80.03	M80.039	M80.039A	M80039A Age-related osteoporosis with current pathological fracture, unspecified forearm, initial encounter for fracture	1
M80.039D	M80039D	Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with routine healing	Root	M00-M99	M80-M85	M80	M80.0	M80.03	M80.039	M80.039D	M80039D Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with routine healing	1
M80.039G	M80039G	Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with delayed healing	Root	M00-M99	M80-M85	M80	M80.0	M80.03	M80.039	M80.039G	M80039G Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with delayed healing	1
M80.039K	M80039K	Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with nonunion	Root	M00-M99	M80-M85	M80	M80.0	M80.03	M80.039	M80.039K	M80039K Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with nonunion	1
M80.039P	M80039P	Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with malunion	Root	M00-M99	M80-M85	M80	M80.0	M80.03	M80.039	M80.039P	M80039P Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with malunion	1
M80.039S	M80039S	Age-related osteoporosis with current pathological fracture, unspecified forearm, sequela	Root	M00-M99	M80-M85	M80	M80.0	M80.03	M80.039	M80.039S	M80039S Age-related osteoporosis with current pathological fracture, unspecified forearm, sequela	1
M80.04	M8004	Age-related osteoporosis with current pathological fracture, hand	Root	M00-M99	M80-M85	M80	M80.0	M80.04			NA	0
M80.041	M80041	Age-related osteoporosis with current pathological fracture, right hand	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.041		NA	0
M80.041A	M80041A	Age-related osteoporosis with current pathological fracture, right hand, initial encounter for fracture	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.041	M80.041A	M80041A Age-related osteoporosis with current pathological fracture, right hand, initial encounter for fracture	1
M80.041D	M80041D	Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with routine healing	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.041	M80.041D	M80041D Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with routine healing	1
M80.041G	M80041G	Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with delayed healing	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.041	M80.041G	M80041G Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with delayed healing	1
M80.041K	M80041K	Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with nonunion	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.041	M80.041K	M80041K Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with nonunion	1
M80.041P	M80041P	Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with malunion	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.041	M80.041P	M80041P Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with malunion	1
M80.041S	M80041S	Age-related osteoporosis with current pathological fracture, right hand, sequela	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.041	M80.041S	M80041S Age-related osteoporosis with current pathological fracture, right hand, sequela	1
M80.042	M80042	Age-related osteoporosis with current pathological fracture, left hand	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.042		NA	0
M80.042A	M80042A	Age-related osteoporosis with current pathological fracture, left hand, initial encounter for fracture	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.042	M80.042A	M80042A Age-related osteoporosis with current pathological fracture, left hand, initial encounter for fracture	1
M80.042D	M80042D	Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with routine healing	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.042	M80.042D	M80042D Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with routine healing	1
M80.042G	M80042G	Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with delayed healing	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.042	M80.042G	M80042G Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with delayed healing	1
M80.042K	M80042K	Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with nonunion	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.042	M80.042K	M80042K Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with nonunion	1
M80.042P	M80042P	Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with malunion	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.042	M80.042P	M80042P Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with malunion	1
M80.042S	M80042S	Age-related osteoporosis with current pathological fracture, left hand, sequela	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.042	M80.042S	M80042S Age-related osteoporosis with current pathological fracture, left hand, sequela	1
M80.049	M80049	Age-related osteoporosis with current pathological fracture, unspecified hand	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.049		NA	0
M80.049A	M80049A	Age-related osteoporosis with current pathological fracture, unspecified hand, initial encounter for fracture	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.049	M80.049A	M80049A Age-related osteoporosis with current pathological fracture, unspecified hand, initial encounter for fracture	1
M80.049D	M80049D	Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with routine healing	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.049	M80.049D	M80049D Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with routine healing	1
M80.049G	M80049G	Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with delayed healing	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.049	M80.049G	M80049G Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with delayed healing	1
M80.049K	M80049K	Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with nonunion	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.049	M80.049K	M80049K Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with nonunion	1
M80.049P	M80049P	Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with malunion	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.049	M80.049P	M80049P Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with malunion	1
M80.049S	M80049S	Age-related osteoporosis with current pathological fracture, unspecified hand, sequela	Root	M00-M99	M80-M85	M80	M80.0	M80.04	M80.049	M80.049S	M80049S Age-related osteoporosis with current pathological fracture, unspecified hand, sequela	1
M80.05	M8005	Age-related osteoporosis with current pathological fracture, femur	Root	M00-M99	M80-M85	M80	M80.0	M80.05			NA	0
M80.051	M80051	Age-related osteoporosis with current pathological fracture, right femur	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.051		NA	0
M80.051A	M80051A	Age-related osteoporosis with current pathological fracture, right femur, initial encounter for fracture	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.051	M80.051A	M80051A Age-related osteoporosis with current pathological fracture, right femur, initial encounter for fracture	1
M80.051D	M80051D	Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with routine healing	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.051	M80.051D	M80051D Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with routine healing	1
M80.051G	M80051G	Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with delayed healing	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.051	M80.051G	M80051G Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with delayed healing	1
M80.051K	M80051K	Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with nonunion	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.051	M80.051K	M80051K Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with nonunion	1
M80.051P	M80051P	Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with malunion	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.051	M80.051P	M80051P Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with malunion	1
M80.051S	M80051S	Age-related osteoporosis with current pathological fracture, right femur, sequela	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.051	M80.051S	M80051S Age-related osteoporosis with current pathological fracture, right femur, sequela	1
M80.052	M80052	Age-related osteoporosis with current pathological fracture, left femur	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.052		NA	0
M80.052A	M80052A	Age-related osteoporosis with current pathological fracture, left femur, initial encounter for fracture	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.052	M80.052A	M80052A Age-related osteoporosis with current pathological fracture, left femur, initial encounter for fracture	1
M80.052D	M80052D	Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with routine healing	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.052	M80.052D	M80052D Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with routine healing	1
M80.052G	M80052G	Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with delayed healing	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.052	M80.052G	M80052G Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with delayed healing	1
M80.052K	M80052K	Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with nonunion	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.052	M80.052K	M80052K Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with nonunion	1
M80.052P	M80052P	Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with malunion	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.052	M80.052P	M80052P Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with malunion	1
M80.052S	M80052S	Age-related osteoporosis with current pathological fracture, left femur, sequela	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.052	M80.052S	M80052S Age-related osteoporosis with current pathological fracture, left femur, sequela	1
M80.059	M80059	Age-related osteoporosis with current pathological fracture, unspecified femur	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.059		NA	0
M80.059A	M80059A	Age-related osteoporosis with current pathological fracture, unspecified femur, initial encounter for fracture	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.059	M80.059A	M80059A Age-related osteoporosis with current pathological fracture, unspecified femur, initial encounter for fracture	1
M80.059D	M80059D	Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with routine healing	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.059	M80.059D	M80059D Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with routine healing	1
M80.059G	M80059G	Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with delayed healing	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.059	M80.059G	M80059G Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with delayed healing	1
M80.059K	M80059K	Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with nonunion	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.059	M80.059K	M80059K Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with nonunion	1
M80.059P	M80059P	Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with malunion	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.059	M80.059P	M80059P Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with malunion	1
M80.059S	M80059S	Age-related osteoporosis with current pathological fracture, unspecified femur, sequela	Root	M00-M99	M80-M85	M80	M80.0	M80.05	M80.059	M80.059S	M80059S Age-related osteoporosis with current pathological fracture, unspecified femur, sequela	1
M80.06	M8006	Age-related osteoporosis with current pathological fracture, lower leg	Root	M00-M99	M80-M85	M80	M80.0	M80.06			NA	0
M80.061	M80061	Age-related osteoporosis with current pathological fracture, right lower leg	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.061		NA	0
M80.061A	M80061A	Age-related osteoporosis with current pathological fracture, right lower leg, initial encounter for fracture	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.061	M80.061A	M80061A Age-related osteoporosis with current pathological fracture, right lower leg, initial encounter for fracture	1
M80.061D	M80061D	Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with routine healing	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.061	M80.061D	M80061D Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with routine healing	1
M80.061G	M80061G	Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with delayed healing	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.061	M80.061G	M80061G Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with delayed healing	1
M80.061K	M80061K	Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with nonunion	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.061	M80.061K	M80061K Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with nonunion	1
M80.061P	M80061P	Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with malunion	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.061	M80.061P	M80061P Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with malunion	1
M80.061S	M80061S	Age-related osteoporosis with current pathological fracture, right lower leg, sequela	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.061	M80.061S	M80061S Age-related osteoporosis with current pathological fracture, right lower leg, sequela	1
M80.062	M80062	Age-related osteoporosis with current pathological fracture, left lower leg	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.062		NA	0
M80.062A	M80062A	Age-related osteoporosis with current pathological fracture, left lower leg, initial encounter for fracture	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.062	M80.062A	M80062A Age-related osteoporosis with current pathological fracture, left lower leg, initial encounter for fracture	1
M80.062D	M80062D	Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with routine healing	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.062	M80.062D	M80062D Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with routine healing	1
M80.062G	M80062G	Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with delayed healing	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.062	M80.062G	M80062G Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with delayed healing	1
M80.062K	M80062K	Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with nonunion	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.062	M80.062K	M80062K Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with nonunion	1
M80.062P	M80062P	Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with malunion	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.062	M80.062P	M80062P Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with malunion	1
M80.062S	M80062S	Age-related osteoporosis with current pathological fracture, left lower leg, sequela	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.062	M80.062S	M80062S Age-related osteoporosis with current pathological fracture, left lower leg, sequela	1
M80.069	M80069	Age-related osteoporosis with current pathological fracture, unspecified lower leg	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.069		NA	0
M80.069A	M80069A	Age-related osteoporosis with current pathological fracture, unspecified lower leg, initial encounter for fracture	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.069	M80.069A	M80069A Age-related osteoporosis with current pathological fracture, unspecified lower leg, initial encounter for fracture	1
M80.069D	M80069D	Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with routine healing	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.069	M80.069D	M80069D Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with routine healing	1
M80.069G	M80069G	Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with delayed healing	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.069	M80.069G	M80069G Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with delayed healing	1
M80.069K	M80069K	Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with nonunion	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.069	M80.069K	M80069K Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with nonunion	1
M80.069P	M80069P	Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with malunion	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.069	M80.069P	M80069P Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with malunion	1
M80.069S	M80069S	Age-related osteoporosis with current pathological fracture, unspecified lower leg, sequela	Root	M00-M99	M80-M85	M80	M80.0	M80.06	M80.069	M80.069S	M80069S Age-related osteoporosis with current pathological fracture, unspecified lower leg, sequela	1
M80.07	M8007	Age-related osteoporosis with current pathological fracture, ankle and foot	Root	M00-M99	M80-M85	M80	M80.0	M80.07			NA	0
M80.071	M80071	Age-related osteoporosis with current pathological fracture, right ankle and foot	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.071		NA	0
M80.071A	M80071A	Age-related osteoporosis with current pathological fracture, right ankle and foot, initial encounter for fracture	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.071	M80.071A	M80071A Age-related osteoporosis with current pathological fracture, right ankle and foot, initial encounter for fracture	1
M80.071D	M80071D	Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with routine healing	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.071	M80.071D	M80071D Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with routine healing	1
M80.071G	M80071G	Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with delayed healing	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.071	M80.071G	M80071G Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with delayed healing	1
M80.071K	M80071K	Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with nonunion	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.071	M80.071K	M80071K Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with nonunion	1
M80.071P	M80071P	Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with malunion	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.071	M80.071P	M80071P Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with malunion	1
M80.071S	M80071S	Age-related osteoporosis with current pathological fracture, right ankle and foot, sequela	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.071	M80.071S	M80071S Age-related osteoporosis with current pathological fracture, right ankle and foot, sequela	1
M80.072	M80072	Age-related osteoporosis with current pathological fracture, left ankle and foot	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.072		NA	0
M80.072A	M80072A	Age-related osteoporosis with current pathological fracture, left ankle and foot, initial encounter for fracture	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.072	M80.072A	M80072A Age-related osteoporosis with current pathological fracture, left ankle and foot, initial encounter for fracture	1
M80.072D	M80072D	Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with routine healing	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.072	M80.072D	M80072D Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with routine healing	1
M80.072G	M80072G	Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with delayed healing	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.072	M80.072G	M80072G Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with delayed healing	1
M80.072K	M80072K	Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with nonunion	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.072	M80.072K	M80072K Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with nonunion	1
M80.072P	M80072P	Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with malunion	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.072	M80.072P	M80072P Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with malunion	1
M80.072S	M80072S	Age-related osteoporosis with current pathological fracture, left ankle and foot, sequela	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.072	M80.072S	M80072S Age-related osteoporosis with current pathological fracture, left ankle and foot, sequela	1
M80.079	M80079	Age-related osteoporosis with current pathological fracture, unspecified ankle and foot	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.079		NA	0
M80.079A	M80079A	Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, initial encounter for fracture	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.079	M80.079A	M80079A Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, initial encounter for fracture	1
M80.079D	M80079D	Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with routine healing	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.079	M80.079D	M80079D Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with routine healing	1
M80.079G	M80079G	Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with delayed healing	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.079	M80.079G	M80079G Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with delayed healing	1
M80.079K	M80079K	Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with nonunion	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.079	M80.079K	M80079K Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with nonunion	1
M80.079P	M80079P	Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with malunion	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.079	M80.079P	M80079P Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with malunion	1
M80.079S	M80079S	Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, sequela	Root	M00-M99	M80-M85	M80	M80.0	M80.07	M80.079	M80.079S	M80079S Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, sequela	1
M80.08	M8008	Age-related osteoporosis with current pathological fracture, vertebra(e)	Root	M00-M99	M80-M85	M80	M80.0	M80.08			NA	0
M80.08XA	M8008XA	Age-related osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture	Root	M00-M99	M80-M85	M80	M80.0	M80.08	M80.08	M80.08XA	M8008XA Age-related osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture	1
M80.08XD	M8008XD	Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with routine healing	Root	M00-M99	M80-M85	M80	M80.0	M80.08	M80.08	M80.08XD	M8008XD Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with routine healing	1
M80.08XG	M8008XG	Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with delayed healing	Root	M00-M99	M80-M85	M80	M80.0	M80.08	M80.08	M80.08XG	M8008XG Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with delayed healing	1
M80.08XK	M8008XK	Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with nonunion	Root	M00-M99	M80-M85	M80	M80.0	M80.08	M80.08	M80.08XK	M8008XK Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with nonunion	1
M80.08XP	M8008XP	Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with malunion	Root	M00-M99	M80-M85	M80	M80.0	M80.08	M80.08	M80.08XP	M8008XP Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with malunion	1
M80.08XS	M8008XS	Age-related osteoporosis with current pathological fracture, vertebra(e), sequela	Root	M00-M99	M80-M85	M80	M80.0	M80.08	M80.08	M80.08XS	M8008XS Age-related osteoporosis with current pathological fracture, vertebra(e), sequela	1
M80.0A	M800A	Age-related osteoporosis with current pathological fracture, other site	Root	M00-M99	M80-M85	M80	M80.0	M80.0A			NA	0
